  
 ----------------
 Bad Element Info
 ----------------
  
 Element         5766
         0.99847482473639126       -1.8133333510004485E-002   0.0000000000000000     
          1.0131755537843301       -1.2289900606898828E-002   0.0000000000000000     
          1.0000000000000000        5.0000000000000001E-004   0.0000000000000000     
         0.99736192479940855       -8.2150726122218638E-003   0.0000000000000000     
 Problems:
       Maximum Angle      156.75658160603908     
  
 //////////////////////////////////////////////////
 Element         5768
          1.0130726550098115        1.1550217920893035E-002   0.0000000000000000     
         0.99743068553555214        1.5431381510476651E-002   0.0000000000000000     
         0.99796099909719083        7.4902080855192873E-004   0.0000000000000000     
          1.0000000000000000        5.0000000000000001E-004   0.0000000000000000     
 Problems:
       Condition          5.7630558361187916     
       Edge Ratio         8.3330246016901199     
  
 //////////////////////////////////////////////////
  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      6.0307E-02      1.3663E+00      1.1988E+00      1.8825E+00      3.1078E-02      6.4245E+01      1.2162E+02      1.0000E+00
      3.7136E-02      1.4044E+00      1.3108E+00      1.7758E+00      2.1147E-02      6.5669E+01      1.2852E+02      1.0000E+00
      3.8089E-02      1.3842E+00      1.1136E+00      1.8191E+00      2.4650E-02      7.0051E+01      1.1247E+02      1.0000E+00
      5.7778E-02      1.2689E+00      1.2369E+00      1.4641E+00      3.3509E-02      7.6636E+01      1.2605E+02      1.0000E+00
      6.9436E-02      1.0787E+00      1.0176E+00      1.1025E+00      6.6092E-02      8.0384E+01      9.9360E+01      1.0000E+00
      7.5135E-02      1.1981E+00      1.0594E+00      1.3819E+00      5.8850E-02      7.1386E+01      1.0140E+02      1.0000E+00
      6.8779E-02      1.1766E+00      1.0606E+00      1.2965E+00      5.9414E-02      7.2490E+01      1.0817E+02      1.0000E+00
      8.2927E-02      1.3379E+00      1.1180E+00      1.4635E+00      6.2853E-02      7.2398E+01      1.1241E+02      1.0000E+00
      8.6412E-02      1.3062E+00      1.1141E+00      1.5600E+00      7.1220E-02      8.1032E+01      1.0460E+02      1.0000E+00
      6.7536E-02      1.1919E+00      1.1103E+00      1.3032E+00      5.1114E-02      7.5932E+01      1.1567E+02      1.0000E+00
      3.1290E-02      1.4230E+00      1.3847E+00      2.1577E+00      1.6975E-02      6.5000E+01      1.2537E+02      1.0000E+00
      2.6248E-02      1.6008E+00      1.5104E+00      2.1817E+00      1.5488E-02      5.1969E+01      1.3134E+02      1.0000E+00
      1.4329E-02      1.1027E+00      1.0275E+00      1.1821E+00      1.2143E-02      8.3976E+01      1.0328E+02      1.0000E+00
      3.8944E-02      1.3307E+00      1.1705E+00      1.8723E+00      2.2967E-02      6.9155E+01      1.1625E+02      1.0000E+00
      3.8809E-02      1.3298E+00      1.1666E+00      1.8677E+00      2.2902E-02      6.8950E+01      1.1604E+02      1.0000E+00
      9.0991E-02      1.3708E+00      1.1436E+00      1.5432E+00      7.5077E-02      7.3342E+01      1.0930E+02      1.0000E+00
      7.9374E-02      1.4801E+00      1.1730E+00      1.6393E+00      5.8937E-02      7.0479E+01      1.1088E+02      1.0000E+00
      3.2494E-02      1.5265E+00      1.4851E+00      2.3668E+00      1.6293E-02      6.1041E+01      1.2921E+02      1.0000E+00
      1.3877E-02      1.1211E+00      1.0296E+00      1.2049E+00      1.1716E-02      8.2744E+01      1.0375E+02      1.0000E+00
      2.2785E-02      1.6499E+00      1.4514E+00      2.1030E+00      1.3826E-02      4.6687E+01      1.2704E+02      1.0000E+00
      3.1281E-02      1.5339E+00      1.4890E+00      2.2923E+00      1.6385E-02      5.8707E+01      1.2991E+02      1.0000E+00
      2.2686E-02      1.6556E+00      1.4722E+00      2.1243E+00      1.3738E-02      4.6464E+01      1.2772E+02      1.0000E+00
      1.3877E-02      1.1008E+00      1.0246E+00      1.1962E+00      1.1846E-02      8.3749E+01      1.0237E+02      1.0000E+00
      7.9174E-02      1.4829E+00      1.1752E+00      1.6398E+00      5.8742E-02      7.0370E+01      1.1102E+02      1.0000E+00
      8.9677E-02      1.3832E+00      1.1494E+00      1.5605E+00      7.5175E-02      7.2931E+01      1.0884E+02      1.0000E+00
      3.1235E-02      1.5307E+00      1.4834E+00      2.2871E+00      1.6405E-02      5.8884E+01      1.2971E+02      1.0000E+00
      1.3876E-02      1.1008E+00      1.0246E+00      1.1960E+00      1.1848E-02      8.3721E+01      1.0238E+02      1.0000E+00
      2.2670E-02      1.6588E+00      1.4745E+00      2.1266E+00      1.3736E-02      4.6432E+01      1.2791E+02      1.0000E+00
      3.2538E-02      1.5137E+00      1.4867E+00      2.3580E+00      1.6314E-02      6.1435E+01      1.2909E+02      1.0000E+00
      2.2821E-02      1.6517E+00      1.4540E+00      2.1042E+00      1.3837E-02      4.6565E+01      1.2711E+02      1.0000E+00
      1.3880E-02      1.1242E+00      1.0298E+00      1.2074E+00      1.1686E-02      8.2817E+01      1.0380E+02      1.0000E+00
      3.9094E-02      1.3378E+00      1.1798E+00      1.8788E+00      2.2947E-02      6.9626E+01      1.1714E+02      1.0000E+00
      3.9981E-02      1.3528E+00      1.1707E+00      1.8687E+00      2.3564E-02      6.9435E+01      1.1718E+02      1.0000E+00
      8.5120E-02      1.3498E+00      1.1347E+00      1.6078E+00      7.0876E-02      7.9281E+01      1.0482E+02      1.0000E+00
      8.5500E-02      1.3464E+00      1.1275E+00      1.4964E+00      6.6117E-02      7.3719E+01      1.1137E+02      1.0000E+00
      7.0106E-02      1.2181E+00      1.1115E+00      1.3220E+00      5.3215E-02      7.4368E+01      1.1583E+02      1.0000E+00
      3.1441E-02      1.4035E+00      1.3627E+00      2.1409E+00      1.7388E-02      6.6039E+01      1.2376E+02      1.0000E+00
      1.4347E-02      1.1052E+00      1.0280E+00      1.1823E+00      1.2154E-02      8.3852E+01      1.0340E+02      1.0000E+00
      2.6477E-02      1.6272E+00      1.5490E+00      2.2125E+00      1.5255E-02      5.1084E+01      1.3284E+02      1.0000E+00
      7.9053E-02      1.2893E+00      1.1049E+00      1.4082E+00      6.8385E-02      7.1078E+01      1.0957E+02      1.0000E+00
      7.3492E-02      1.1787E+00      1.0459E+00      1.2712E+00      6.2885E-02      7.4975E+01      1.0204E+02      1.0000E+00
      8.0292E-02      1.0830E+00      1.0162E+00      1.1949E+00      7.6416E-02      8.6981E+01      9.2212E+01      1.0000E+00
      1.1953E-01      1.2247E+00      1.1615E+00      1.4619E+00      7.3035E-02      7.5158E+01      1.2045E+02      1.0000E+00
      7.2809E-02      1.6228E+00      1.3345E+00      2.3978E+00      4.2383E-02      5.8170E+01      1.2098E+02      1.0000E+00
      8.8004E-02      1.6300E+00      1.4452E+00      2.1025E+00      4.5986E-02      5.7021E+01      1.3357E+02      1.0000E+00
      5.0192E-02      1.2058E+00      1.0815E+00      1.5453E+00      3.5984E-02      7.3529E+01      1.0545E+02      1.0000E+00
      3.0336E-02      1.5333E+00      1.4622E+00      2.1204E+00      1.8213E-02      5.4417E+01      1.2924E+02      1.0000E+00
      3.2864E-02      1.4844E+00      1.4841E+00      2.2084E+00      1.7719E-02      5.9202E+01      1.2946E+02      1.0000E+00
      1.5073E-02      1.0838E+00      1.0201E+00      1.1429E+00      1.3522E-02      8.3569E+01      1.0131E+02      1.0000E+00
      2.8650E-02      1.6821E+00      1.4925E+00      2.2968E+00      1.4525E-02      5.5475E+01      1.3356E+02      1.0000E+00
      1.3782E-02      1.0786E+00      1.0344E+00      1.2038E+00      1.1784E-02      8.2385E+01      1.0366E+02      1.0000E+00
      2.2662E-02      1.5179E+00      1.3428E+00      2.0732E+00      1.4460E-02      5.5293E+01      1.2278E+02      1.0000E+00
      3.3359E-02      1.6589E+00      1.5579E+00      2.4781E+00      1.5782E-02      5.6841E+01      1.3347E+02      1.0000E+00
      1.4368E-02      1.1106E+00      1.0250E+00      1.2020E+00      1.2334E-02      8.2743E+01      1.0250E+02      1.0000E+00
      2.3138E-02      1.5810E+00      1.3889E+00      2.0294E+00      1.4284E-02      4.8822E+01      1.2403E+02      1.0000E+00
      1.6497E-02      1.0530E+00      1.0078E+00      1.0893E+00      1.5502E-02      8.5621E+01      9.7067E+01      1.0000E+00
      1.6155E-02      1.1016E+00      1.0279E+00      1.2214E+00      1.4261E-02      8.0096E+01      1.0178E+02      1.0000E+00
      1.7922E-02      1.0798E+00      1.0085E+00      1.1343E+00      1.7184E-02      8.5809E+01      9.3337E+01      1.0000E+00
      1.6445E-02      1.1534E+00      1.0438E+00      1.2853E+00      1.4222E-02      7.5896E+01      1.0514E+02      1.0000E+00
      2.4318E-02      1.6034E+00      1.5942E+00      2.2564E+00      1.3009E-02      5.2795E+01      1.3427E+02      1.0000E+00
      1.9131E-02      1.6954E+00      1.5003E+00      2.4807E+00      9.9813E-03      4.8015E+01      1.2346E+02      1.0000E+00
      1.2750E-02      1.2837E+00      1.1041E+00      1.6254E+00      8.8558E-03      6.6961E+01      1.0408E+02      1.0000E+00
      2.2390E-02      1.0367E+00      1.0152E+00      1.0547E+00      2.1425E-02      8.0082E+01      9.7560E+01      1.0000E+00
      1.5755E-02      1.1773E+00      1.0316E+00      1.3216E+00      1.3170E-02      8.0985E+01      1.0176E+02      1.0000E+00
      1.5954E-02      1.1785E+00      1.1302E+00      1.3377E+00      1.1217E-02      7.9327E+01      1.1761E+02      1.0000E+00
