  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      9.0288E-01      1.2133E+00      1.1278E+00      1.3127E+00      6.6441E-01      7.4042E+01      1.1753E+02      1.0000E+00
      2.8593E-01      1.6302E+00      1.4665E+00      2.4230E+00      1.6391E-01      5.2954E+01      1.2536E+02      1.0000E+00
      3.6585E-01      1.4115E+00      1.3035E+00      1.9499E+00      2.3781E-01      5.7129E+01      1.1818E+02      1.0000E+00
      4.3538E-01      1.6497E+00      1.6570E+00      2.1749E+00      2.2109E-01      5.1477E+01      1.3854E+02      1.0000E+00
      2.2250E-01      1.0816E+00      1.0328E+00      1.2109E+00      1.8952E-01      8.3019E+01      1.0328E+02      1.0000E+00
      5.0004E-02      1.3229E+00      1.1454E+00      1.7124E+00      3.2649E-02      7.3117E+01      1.1606E+02      1.0000E+00
      6.5818E-02      1.0793E+00      1.0142E+00      1.1492E+00      6.0060E-02      8.0834E+01      9.4727E+01      1.0000E+00
      4.3473E-02      1.3117E+00      1.4416E+00      1.5317E+00      2.1083E-02      7.2480E+01      1.3605E+02      1.0000E+00
      1.3500E-01      1.4267E+00      1.3389E+00      1.6032E+00      8.3814E-02      6.0424E+01      1.3109E+02      1.0000E+00
      7.2654E-02      1.1762E+00      1.0777E+00      1.3651E+00      6.0835E-02      6.9351E+01      1.0330E+02      1.0000E+00
      1.0551E-01      1.5259E+00      1.3543E+00      2.0627E+00      6.6233E-02      5.6704E+01      1.2561E+02      1.0000E+00
      6.8678E-02      1.0605E+00      1.0060E+00      1.1107E+00      6.3699E-02      8.4163E+01      9.3491E+01      1.0000E+00
      6.5692E-02      1.0117E+00      1.0057E+00      1.0141E+00      6.5125E-02      8.3887E+01      9.5906E+01      1.0000E+00
      8.5125E-02      1.0707E+00      1.0149E+00      1.1534E+00      7.4803E-02      8.0164E+01      9.4056E+01      1.0000E+00
      6.6924E-02      1.0453E+00      1.0054E+00      1.0714E+00      6.4613E-02      8.4751E+01      9.5240E+01      1.0000E+00
      4.4077E-02      1.2968E+00      1.3740E+00      1.5308E+00      2.2255E-02      7.4349E+01      1.3325E+02      1.0000E+00
      7.0656E-02      1.1627E+00      1.0348E+00      1.2402E+00      6.2405E-02      7.8050E+01      9.9876E+01      1.0000E+00
      7.3015E-02      1.1442E+00      1.0334E+00      1.2531E+00      6.8726E-02      8.2929E+01      9.8753E+01      1.0000E+00
      4.8505E-02      1.3150E+00      1.4552E+00      1.5294E+00      2.4792E-02      6.8451E+01      1.3638E+02      1.0000E+00
      7.3465E-02      1.1446E+00      1.0337E+00      1.2450E+00      6.9323E-02      8.2189E+01      9.9131E+01      1.0000E+00
      7.0726E-02      1.1655E+00      1.0336E+00      1.2503E+00      6.1900E-02      7.8356E+01      9.8995E+01      1.0000E+00
